a	art.一(个，件，...)
exchange appreciation	外汇升值
exchange bank	汇兑银行，外汇银行
exchange broker	交易所经纪人，外汇经纪人
exchange control	外汇管制，外汇管理
exchange cover	补进外汇
exchange deal	外汇交易
exchange for	n. 交换，调换，对换；兑换；交流，交易；v. 交换，调换，对换
exchange of documents	换文
exchange of notes	换文，交换照会
exchange price	汇价
exchange quota	外汇限额，外汇配额
exchange quotation	汇价；外汇牌价
exchange rate	汇率
exchange rationing system	外汇配给制
exchange value	交换价值
exchangeable	a. 可交换的，可转换的
exchequer	n. 国库，财源
excise	v. 切除，删去
excise duty	消费税
excise office	税务署
excise tax	国内消费税
excision	n. 切除，割除
excitable	a. 易兴奋的,易怒的
excitation	n. 刺激；激发，激励
excite	vt.使兴奋；使激动
excited	adj. 兴奋的；激昂的；激动的
excitedly	adv. 兴奋地；激动地
excitement	n. 刺激,兴奋
exciting	adv. & adj. 激动人心的；adj. 令人兴奋的；令人激动的；使激动的；兴奋的；使人振奋的
exclaim	vi.呼喊；惊叫
exclamation	n.呼喊，惊叫；感叹
exclamatory	a. 感叹的,惊叹的
exclude	vt.把…排除在外
exclusion	n. 拒绝，排斥
exclusive	a.除外的；孤傲的
exclusive agency	独家代理
exclusive agent	独家代理人；特约总代理商
exclusive dealership	独家经销
exclusive distribution	总经销，独家经销
exclusive economic zone	专属经济区
exclusive patent rights	独家专利权
exclusive sales	包销，专营
exclusively	 adv.排外地；专门地；独占地；独有地
exclusivity	n. 独家经营权
excogitate	v. 想出，设计(计划，办法)
excommunicate	vt. 逐出教会
excommunication	n. 逐出教会
excoriate	v. 撕去皮，严厉批评
excrement	n. 排泄物,大便
excrescence	n. 异常生长,瘤,赘生物
excreta	n.排泄
excrete	vt. 排泄,分泌
excretion	n. 排泄,排泄物
excretory	a. 排泄的,分泌的
exculpate	v. 开脱，申明无罪
excursion	n.离题
excursive	a. 游览的,离题的,散漫的
excuse	n.藉口；托辞
excuse me.	劳驾；对不起；请问；请原谅！
excuse oneself from	借口推托；婉言拒绝
excuse sb. for sth.	原谅某人做了某事
ex-dividend	n.无股利，无股息
execrable	adj.极坏的
execrate	v. 憎恶，咒骂
execration	n. 憎恶,诅咒,念咒
exective	n. 总经理，董事，行政负
executable	a. 可执行的
execute	vt.将…处死；实施
execute a contract	履行合同
execution	n.实行，执行；处死刑
executioner	n. 刽子手
executive	n.总经理，董事
executor	n. 遗嘱执行人
exegesis	n. (对圣经等的)严肃解释，注释
exeggerate	v. 夸大，夸张
exemplary	a. 模范的
exemplification	n. 例证,范例
exemplify	vt. 举例证明(解释)；v. 举例说明
exempt	adj. 被免除的，v. 使免除
exempt from	免除，豁免
exempt from charge	免费
exemption	n. 免除
exercise	n.练习
exercise-book	n. 练习簿；练习本
exert	vt.发挥(威力)，施加
exert oneself to	努力，尽力
exertion	n. 努力，用力
exhalation	n. 呼气,蒸发,发出物
exhale	v. 呼出(气)
exhaust	vt.使筋疲力尽；用尽
exhaust fume	废气
exhaust pipe	排气管
exhausted	 adj. 精疲力竭的；耗尽的，筋疲力尽的
exhaustion	n. 疲备，耗尽
exhaustive	adj. 彻底的，无遗漏的
exhibit	vt.显示；陈列，展览
exhibition	n.展览
exhibitionism	n. 风头主义
exhibitionist	n. 喜欢出风头的人
exhibitor	n. 展出人；展出单位
exhilarate	v. 使高兴
exhilarating	 adj.使人高兴的；使人兴奋的
exhilaration	n. 令人高兴,愉快
exhort	v. 力劝，勉励
exhortation	n. 劝告，规劝
exhume	v. 掘出，发掘
exigency	n. 紧急,急迫,苛求,紧急事件
exigent	a. 紧急的,迫切的,苛求的
exiguous	adj. 稀少的，微小的
exile	vt.流放 n.被流放者
eximbank	进出口银行
exist	vi.存在；生存
existence	n.存在，实在；生存
existent	a. 存在的，实在的，现存的
existing	adj. 现存的，已有的；现有的；现行的；目前的
existing customer	常惠顾客
existing stock	存货
exit	n.出口；退场 vi.退出
exodus	v. 大批离去，成群外出
exogamy	n. 异族通婚
exogenous	外生的
exonerate	v. 免除责任，确定无罪
exoneration	n. 免罪，免除
exorbitant	adj. 过份的，过度的
exorbitant price	过高价格，非法价格
exorcise	v. 驱邪；除怪
exorcism	n. 驱鬼，伏魔
exorcize	v. 驱魔，去除(坏念头等)
exotic	adj. 珍奇的，来自异国的
expand	vt.扩大；使膨胀
expand on	进一步阐述；详
expandable fund	备用基金
expanding	a. 扩展的，扩充的
expanse	n. 宽阔的区域,宽阔
expansile	adj. (可)增大的
expansion	n.扩大，扩充；扩张
expansion of business	扩展业务
expansion of currency	通货膨胀
expansionary	扩张性的
expansive	a. 易膨胀的,易扩张的
expatiate	vi. 详述,细说
expatriate	v. 驱逐出国，脱离国籍
expect	vt.料想，认为
expect of	对…期望(要求)
expect value	期望值
expectable	a. 可预想的；意料中的
expectancy	n.期待; 期望
expectant	n. 预期者,期待者
expectation	n.期待，期望，预期
expectation effect	预期效果
expectation of life	n. 估计寿命
expectations unfilled orders	制造商的末发货订单
expected	a. 预期的，期待的
expected profit	预期利润
expectorate	vt. 咳出
expedience	n. 权宜,方便,私利
expediency	n. 方便，权宜之计
expedient	n. 权宜之计,临时手段
expedite	v. 使加速，促进
expediter	稽查员
expedition	n.探险；探险队
expeditionary	adj.远征的；探险的
expeditious	adj. 迅速的，敏捷的
expeditiously	adj. 迅速地；敏捷地
expeditonary force	远征军
expel	vt.驱逐，开除；排出
expend	v. 花费，用光
expendable	adj. 可耗尽的，可牺牲的；消耗品
expenditure	n.(时间等)支出，消费
expenditure energy	能量消耗
expenditure lag	支出滞差
expenditure limitation	支出限额
expenditure reduction	支出削减
expenditure saving	节省开支
expense	n.消费；花费
expense and receipts	收支
expense cost	费用成本
expense fund	消费基金
expense item	支出项目
expense loading	费用附加
expense of circulation	流通费用
expensive	adj.昂贵的
expensive items	贵重物，开支的项目
experience	n.经验，感受；经历
experience rating	经验税率
experienced	adj. 有经验的；老练的；熟练的
experiment	n.实验；试验
experiment on	进行实验，做实验
experimental	a.实验的，试验的
experimentally	ad. 实验上，实验性地
experimentation	n. 实验，试验；实验法；实验(工作，法)；研究
expert	n.专家 a.熟练的
expert cook	烹调能手
expert in	熟练于…
expert statement	专家鉴定书
expertise	n. 专家队伍(总称)；专技，专业知识；专门，知识，专长
expiate	v. 赎罪，补偿
expiation	n. 赎罪,补偿
expiration	n. 期满，终止
expiration clause	过期条款
expiration date	到期日，终止日期
expiration notice	满期通知
expire	vi.满期，到期；断气
expire date	满期日；失效日期，不效期限
expiry	n. 逾期
explain	vt.&vi.解释，说明
explaination	n. 解释，说明
explanation	n.解释，说明；辩解
explanatory	a. 说明的,解释的,辩明的
expletive	 adj. 仅作补充性的; 附加的
explicable	adj. 可解释的
explicate	v. 详细解说
explicit	a.明晰的；直率的
explicitly	adv. 清晰地；明显地，显然地
explode	vt.使爆炸 vi.爆炸
exploit	vt.剥削；利用；开拓
exploitation	n. 开发,开采,自私的利用
exploration	n.考察；勘探；探查
explore	vt.&vi.探险，探索
explorer	n. 探险家,探测者
explosion	n.爆炸，爆发，炸裂
explosive	n.炸药 a.爆炸的
explosive equilibrium	扩散性均衡
exponent	n. 说明者，支持者
exponential	a. 指数的，幂的，阶的
exponentially	ad.成倍地；指数地；幂地
export	vt.输出，出口；运走
export agent	出口代现商
export bill	出口单，出口汇单
export certification	出口证明；输出许可证
export commodity	出口商品
export control	出口管制
export credit	出口信贷；出口信用证明
export declaration	(缩)e/d，出口申报单
export inspection	出口检验
export license	出口许可证
export loan	输出贷款
export of capital	资本输出
export of technique	技术出口
export order	出口定单
export processing	出口加工
export quota	出口限额
export restraints	出口限制
export sales	外销
export tariff	出口关税
exportation	n.输出,出口
exporter	n. 出口商
expose	vt.使暴露；揭露
expose to	使暴露，受到；使曝光；使…处于的影响之下；暴露；揭露
exposed	adj. 暴露在外的
exposition	n.说明，解释；陈列
expositive	a. 说明的；阐述的；评注的
expositor	n. 说明者,解释者
expostulate	v. (对人或行为的)抗议，告诫
expostulation	n. 劝告,谏言
exposure	n.暴露；揭露；曝光
exposure to	受到
expound	v. 解释，阐述，提出
express	vt.表示 n.快车，快递
express delivery	快递
express guarantee	明示保证
express letter	快信
express mail	快件，快信
express messenger	专差
express trust	明示信托
expression	n.词句；表达；表情
expressive	a. 表达的
expressly	adv. 清楚地，特意地
expressway	n. 高速公路
ex-prime minister	n. 前任总理
exprivileges	无特权；不予优待
expropriate	v. 充公，没收
expropriation	没收，征用
expulsion	n. 驱逐，开除
expunge	v. 删除
expurgate	v. 净化，删去
exquisite	adj. 精致的，近完美的
exquisitely	ad. 精巧地，优美地
ex-soldier	n. 退伍军人
extant	adj. 现存的，传世的
extemporaneous	a. 无准备的,即席的,临时的
extempore	a. 即席的,当场的
extemporize	v. 即席演说；即席发言
extend	vt.延长；扩大；致
extended	a. 伸长的；广大的
extended bonds	延期债券
extended coupon	延期息票
extended coverage	增加保险范围
extended credit	延期信用证
extended facility	延期贷款
extended warranty	延长保证期
extension	n.延长部分；伸展
extensive	a.广阔的；广泛的
extensive contact	广泛的联系
extensive order	大批定货
extensively	adv. 广泛地；彻底地
extent	n.广度；范围；程度
extent of authority	权限
extenuate	v. 掩饰(罪行)，减轻罪过
extenuation	n. 酌情减轻,减轻
exterior	a.外部的；对外的
exterminate	v. 消灭，灭绝
extermination	n. 消灭,根绝
exterminator	n.以消灭老鼠(蟑螂、臭虫)为职业的人
external	a.外部的，外面的
external angle	外角
external assets	国外资产
external debt	外债，国外债券
external finance	外来资金
external funds	外来资金
external investment	国外投资
external payment	国外支付
external representation	对外代表权
externality	外部效应
extinct	a.绝种的；熄灭了的
extinction	n. 熄灭，消灭
extinction of debt	债务消除
extinguish	vt.熄灭，扑灭；消灭
extirpate	消灭，根除
extirpation	n. 消灭,根除,毁灭
extol	v. 赞美
extort	v. 强索
extortion	n. 强取
extortionist	n. 勒索者，敲诈者
extra	a.额外的 ad.特别地
extra best best	(缩)e.b.b，最高质量的
extra best quality	最优质量，特等品
extra charge	额外费用
extra fine quality	特等质量
extra wage	额外工资
extra work	加班
extract	vt.取出；榨取 n.摘录
extracting	选取
extraction	n.抽出；提取法；摘要
extractor	n. 拔取的人,抽出者,抽出器
extracurricular	a.课外
extradite	v. 引渡回国，拿获归案
extradition	n. 引渡逃犯,将亡命者送还本国
extraneous	adj. 外来的，无关的
extraordinarily	ad.非常地，特别地
extraordinary	a.非同寻常的，特别的
extraordinary session	特别会议，非常会议
extrapolate	v. 预测，推断，推知；推测
extravagance	n. 奢侈,浪费,放肆的言行
extravagant	a.奢侈的；过度的
extreme	n.极端不同的性质
extreme optimal strategy	最优策略
extremely	ad.极端，极其，非常
extremist	n.极端 
extremity	n. 极度，绝境
extricate	v. 拯救，救出
extrinsic	adj. 外在的，外部的
extrovert	n. 性格外向者
extrude	vt. 挤出,压出,逐出
exuberance	n. 茂盛,健康,丰富
exuberant	adj. 充满活力的,茂盛的
exude	v. 使慢慢流出，四溢
exult	v. 欢腾，喜悦
exultant	adj. 愉悦的
exultation	n. 狂喜,大悦,欢欣
eye	n.眼睛；眼力；鉴赏力
eye exercises	眼保健操
eyeball	n. 眼球
eyebrow	n.眉毛
eye-exercises	眼保健操
eyeglass	n. 眼镜
eyelash	n. 睫毛
eyeless	a. 盲目的
eyelet	n. 小孔,孔眼,针眼,金属圈
eyelid	n. 脸
eye-popping price	令人吃惊的高价
eyesight	n.视力
eyewitness	目击者
eyry	n. 鹰巢,高处的房子,高处的城堡
Fabian	a. 费边式的,拖延时间的,
fable	n.寓言；虚构的故事
fabric	n.织物，纺织品；结构
fabricate	vt.制作，组合；捏造
fabricated foods	组合食品
fabrication	n.制作，构成；捏造
fabulous	adj. 难以置信的，寓言里的
facade	n. 建筑物的正面，外表
face	n.脸
face amount	票面金额，面值
face clause	提单正面要款
face par	票面价格
face to face	面对面(的)地；对立地
face to face with	与…面对面
face up to	勇敢地对付；大胆面向
face up to sth	勇敢地对付
faced	adj. 脸的
faces	脸
facet	n. 面；方面
facetious	adj. 轻浮的，好开玩笑的
facial	n. 美颜术,脸部按摩术
facile	adj. 容易做的，肤浅的
facilitate	vt. 促进；使容易；助长；使便利，有助于v. 使便利，使容易；帮助
facilities	n. (使事情便利的)设备，工具
facility	n.设备；容易；便利
facing	n. 贴边,饰面
facsimile	n. 复制本，摹本
fact	n.事实；实际
fact finding	实况调查
faction	n.派别，宗派，小集团
factious	adj. 有派性的，偏见的
factitious	adj. 人为的，不真实的
factor	n.因素；因子，系数
factor cost	生产要素成本
factor market	生产要素市场
factorage	代理业
factories	工厂
factoring	代理经营，代理融通；融资
factory	n.工厂，制造厂
factory price	出厂价格
factotum	n. 杂役，听差
factual	a. 事实的，现实的；实际的，事实上的
facultative	任意的，临时的；临垢
facultative endorsement	任意背书
facultative insurance	临时保险
faculty	n.才能，能力；系，科
fad	n. (流行一时的)狂热，时尚
faddish	adj. 流行一时的，时尚的
fade	vi.褪色；逐渐消失
faeces	n. 粪；排泄物，渣滓
faery	n. 仙子,仙境
fag	v. 苦干n. 苦工
faggot	n. 柴把,束薪
fagot	n. 柴把,束薪
Fahrenheit	n.华氏温度计
fail	vi.失败
fail in	在…不足，疏忽；失败，不及格
fail to	不能，记忆
fail to v	不，未能
failed bank	破产银行
failing	n. 失败,缺点,过失
failure	n.失败；失败的人
failure in	…的失败
failure to	未能
failure to act	末履行
failure to perform	末履行(合同)
failure to present	末提示(票据)
failure to v	未能
fain	adj. 欣然地；乐意地；ad. 宁愿；乐意的
faint	adj.暗淡的；微弱的
faint-hearted	a. 无勇气的,胆怯的
faintly	ad. 微微地；不明显的；微弱地，软弱无力的
fair	adj.(头发)金色的
fair and equitable	公平合理
fair average quality	(缩)faq，中等品中等质量
fair competition	公平竞争
fair dealing	公平交易
fair play	公平的竞赛；公平对待
fair price	公平价格，公平价目
fair quality	中等品质
fair return	公平收益
fair trade	公平贸易，互惠贸易
fairly	ad.相当；公平地
fairness	n. 晴朗,光明正大,美丽
fairy	adj.幻想中的，虚构的
fairy tale	n. 神话，童话
fairy tales	神话故事，童话
fairyland	n. 仙境
fait	证书，契据
faith	n.信任，信心；信仰
faithful	a.忠诚的；如实的
faithfully	 adv. 忠诚地；诚恳地；忠实地
faithfulness	n. 忠诚,诚实,正确
faithless	a. 无信的,不忠实的
fake	n.假货，膺品 a.假的
